title,text,label
"Government confirms new tax policy","The finance ministry released an official statement with implementation dates and legal references.",0
"Scientists discover cure overnight","A viral post claims all major diseases were cured in one day without clinical trial records.",1
"City council approves transport budget","Minutes from the city council meeting show a majority vote approving the yearly transport budget.",0
"Celebrity endorses miracle crypto plan","Anonymous channels claim guaranteed 500 percent returns with no regulatory filing.",1
"University publishes peer reviewed climate report","Researchers released methodology and data in an open journal with independent review.",0
"Secret agency controls rainfall says blog","An unverified article claims weather is manipulated globally by hidden towers.",1
"Health department updates vaccination guidance","Public health officials updated guidance citing recent epidemiological evidence.",0
"Breaking aliens elected as senators","A manipulated screenshot with no source claims non humans now hold public office.",1
"Court releases official judgment document","The judiciary portal published the complete decision and hearing transcript.",0
"One herb can replace all medicines","A marketing website claims one herb treats every condition and hides ingredients.",1
"National statistics bureau posts inflation data","Monthly inflation report includes sector wise breakdown and historical comparison.",0
"Government plans to ban all cash tomorrow","Social media rumor spreads without press release or legal notice.",1
"Airport authority announces runway expansion","Tender documents and environmental assessments are publicly available.",0
"Vaccine contains tracking microchips","The claim circulates without lab evidence and cites no credible institution.",1
"Education ministry launches scholarship portal","Official portal and eligibility criteria were announced during a press briefing.",0
"Bank deleting savings accounts at random","Chain messages urge panic despite no banking regulator advisory.",1
"Meteorological agency issues cyclone warning","Forecast bulletin includes coordinates wind speed and emergency procedures.",0
"Drinking silver water reverses aging","Influencer video makes unsupported medical claims and sells affiliate products.",1
"Election commission publishes final turnout","The commission dashboard provides polling station level participation numbers.",0
"Space laser started forest fires","A conspiracy forum attributes wildfires to unidentified orbital weapons.",1
